idx,ts,truth_ts,obs_target_yaw_deg,obs_gimbal_yaw_deg,obs_err_yaw_deg,truth_target_yaw_deg,truth_gimbal_yaw_deg,truth_err_yaw_deg,target_yaw_rate_dps,gimbal_yaw_rate_dps,detected,u_px,cx_px,f_px,yaw_rate_cmd_dps
20,2.314999999999973,2.314999999999973,1.9806075966004926,6.085734519930745,-4.1051269233302605,1.9792635854694849,6.085734519930745,-4.106470934461271,-10.496927606145501,-27.256015110156916,1,205.16666666666666,320.0,1600.0,-60.0
21,2.354999999999972,2.354999999999972,1.552800560500799,4.706846936730995,-3.154046376230184,1.5569654690201393,4.706846936730995,-3.1498814677108555,-10.613367064758052,-36.72801725369396,1,231.83333333333334,320.0,1600.0,-60.0
22,2.394999999999971,2.394999999999971,1.1333788842022727,3.1915602156607545,-2.058181331458485,1.1305656230556094,3.1915602156607545,-2.060994592605141,-10.701954469144336,-38.67192826358831,1,262.5,320.0,1600.0,-60.0
23,2.4349999999999703,2.4349999999999703,0.7024218464121077,1.6078244198918088,-0.9054025734797051,0.7011846464673924,1.6078244198918088,-0.9066397734244163,-10.762379999830031,-40.289293061852334,1,294.7142857142857,320.0,1600.0,-60.0
24,2.4749999999999694,2.4749999999999694,0.2702959179226525,-0.037665931246235046,0.30796184916889047,0.26995359138995134,-0.037665931246235046,0.3076195226361733,-10.7944312230769,-41.779643440066266,1,328.6,320.0,1600.0,-60.0
25,2.5149999999999686,2.5149999999999686,-0.16496492131653895,-1.7402018469995915,1.5752369256830434,-0.16198997529686812,-1.7402018469995915,1.5782118717027345,-10.797995092664667,-43.157191517509695,1,364.0,320.0,1600.0,-60.0
26,2.5549999999999677,2.5549999999999677,-0.5913916674462882,-3.4954693582824103,2.904077690836118,-0.5935059720791188,-3.4954693582824103,2.9019633862032777,-10.773059022931662,-44.43058718779399,1,401.1666666666667,320.0,1600.0,-50.4752380746515
27,2.594999999999967,2.594999999999967,-1.026923959894532,-5.2702908364623005,4.243366876567762,-1.0234558268225558,-5.2702908364623005,4.246835009639739,-10.719711008573146,-41.98064470807114,1,438.7142857142857,320.0,1600.0,-14.735538642799158
28,2.634999999999966,2.634999999999966,-1.4413805595733322,-6.783006125136633,5.341625565563305,-1.4507064864311872,-6.783006125136633,5.33229963870545,-10.638138788455706,-26.856882179679303,1,469.6,320.0,1600.0,23.547031892313665
29,2.674999999999965,2.674999999999965,-1.8696994870506387,-7.448571433074676,5.578871946024037,-1.8741343742213046,-7.448571433074676,5.574437058853363,-10.528628072558094,-3.214818670625821,1,476.2857142857143,320.0,1600.0,57.484289114558436
30,2.7149999999999643,2.7149999999999643,-2.293651118468887,-7.137892541024322,4.844241422555427,-2.292629258273502,-7.137892541024322,4.845263282750807,-10.391559872355481,20.176884351055797,1,455.6,320.0,1600.0,60.0
31,2.7549999999999635,2.7549999999999635,-2.709440564385801,-5.982478003413804,3.273037439028002,-2.705097996040575,-5.982478003413804,3.277380007373239,-10.227406994817333,32.280967887620626,1,411.5,320.0,1600.0,60.0
32,2.7949999999999626,2.7949999999999626,-3.113679793781415,-4.617348695488524,1.5036689017071012,-3.1104681232608713,-4.617348695488524,1.506880572227658,-10.036729778046096,35.16563337011972,1,362.0,320.0,1600.0,60.0
33,2.8349999999999618,2.8349999999999618,-3.5039114091567285,-3.167302577236465,-0.33660883192027313,-3.507691258663156,-3.167302577236465,-0.34038868142670253,-9.820171161894882,37.064027393738264,1,310.6,320.0,1600.0,60.0
34,2.874999999999961,2.874999999999961,-3.891177324410023,-1.6452594895367587,-2.245917834873268,-3.8957462999397348,-1.6452594895367587,-2.2504868104029754,-9.578451199233761,38.79864316183938,1,257.25,320.0,1600.0,34.78527440671553
