idx,ts,truth_ts,obs_target_yaw_deg,obs_gimbal_yaw_deg,obs_err_yaw_deg,truth_target_yaw_deg,truth_gimbal_yaw_deg,truth_err_yaw_deg,target_yaw_rate_dps,gimbal_yaw_rate_dps,detected,u_px,cx_px,f_px,yaw_rate_cmd_dps
65,4.1149999999999345,4.1149999999999345,-5.941265626355744,0.15021309572204403,-6.091478722077795,-5.944090406450949,0.15021309572204403,-6.094303502173005,0.9231970854004238,-16.169580840308022,1,149.25,320.0,1600.0,-60.0
66,4.154999999999934,4.154999999999934,-5.91208619495805,-0.9380960124908395,-4.973990182467219,-5.907032499851473,-0.9380960124908395,-4.968936487360622,0.9289899359581876,-32.09499349722356,1,180.75,320.0,1600.0,-60.0
67,4.194999999999933,4.194999999999933,-5.870975318680962,-2.324367341749515,-3.5466079769314547,-5.869742846760513,-2.324367341749515,-3.545375505011009,0.9347843124392079,-35.84485617655922,1,220.83333333333334,320.0,1600.0,-60.0
68,4.234999999999932,4.234999999999932,-5.823575576002639,-3.8011587154385924,-2.02241686056405,-5.832221386432377,-3.8011587154385924,-2.0310626709937765,0.9405802002075888,-37.714335476443054,1,263.5,320.0,1600.0,-60.0
69,4.274999999999931,4.274999999999931,-5.795729013142221,-5.348114842281679,-0.44761417086053257,-5.794468058716236,-5.348114842281679,-0.4463532164345452,0.9463775841670186,-39.40037639769676,1,307.5,320.0,1600.0,-60.0
70,4.31499999999993,4.31499999999993,-5.760119612349655,-6.959574744446621,1.199455132096972,-5.756482804074594,-6.959574744446621,1.203091940372019,0.9521764487574781,-40.95783492875509,1,353.5,320.0,1600.0,-60.0
71,4.354999999999929,4.354999999999929,-5.714668696546056,-8.630652243009765,2.915983546463707,-5.718265563601914,-8.630652243009765,2.9123866794078594,0.9579767779519512,-42.39751301005964,1,401.5,320.0,1600.0,-42.55656693966409
72,4.3949999999999285,4.3949999999999285,-5.68371348027091,-10.30338026961065,4.619666789339732,-5.679816279043359,-10.30338026961065,4.623563990567277,0.9637785552531337,-37.08582227490181,1,449.2857142857143,320.0,1600.0,-2.2367247209618997
73,4.434999999999928,4.434999999999928,-5.643603651871302,-11.541541477447861,5.897937825576548,-5.641134892813677,-11.541541477447861,5.900406584634197,0.9695817636901456,-18.19670152398774,1,485.2857142857143,320.0,1600.0,41.10523443310652
74,4.474999999999927,4.474999999999927,-5.601003333584913,-11.807528758008486,6.206525424423575,-5.602221348016204,-11.807528758008486,6.205307409992287,0.9753863858152435,8.366632147966985,1,494.0,320.0,1600.0,60.0
75,4.514999999999926,4.514999999999926,-5.556560924446757,-11.012946610921752,5.456385686474988,-5.563075588462014,-11.012946610921752,5.449871022459746,0.9811924037005354,28.44783799133485,1,472.8333333333333,320.0,1600.0,60.0
76,4.554999999999925,4.554999999999925,-5.528855498053531,-9.66960717597154,4.1407516779180185,-5.523697558689184,-9.66960717597154,4.145909617282371,0.9869997989346965,35.385123985129226,1,435.8333333333333,320.0,1600.0,60.0
77,4.594999999999924,4.594999999999924,-5.47942770673086,-8.207865413806141,2.7284377070752726,-5.484087203982205,-8.207865413806141,2.7237782098239336,0.9928085526196896,37.36611912032482,1,396.25,320.0,1600.0,60.0
